betting_bm_id,betting_sc_id,betting_name,betting_score,year,performer,song,page_url,contest_round,country_name,country_code
6,103,PAF,34.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
11,92,SPORTINGBET,67.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
17,87,INTERTOPS,51.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
1,82,PADDYPOWER,81.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
14,76,BETFRED,67.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
19,72,BETWAY,67.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
16,66,STANJAMES,51.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
30,21,BETFAIRSPORT,81.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
24,12,MATCHBOOK,,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
2,-200,BFX*,181.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
4,153,UNIBET,51.0,2015,Maraaya,Here for You,/eurovision/2015/slovenia,final,Slovenia,Slovenia
5,145,BET365,81.0,2015,Maraaya,Here for You,/eurovision/2015/slovenia,final,Slovenia,Slovenia
18,139,YOUWIN,81.0,2015,Maraaya,Here for You,/eurovision/2015/slovenia,final,Slovenia,Slovenia
15,131,BOYLESPORTS,67.0,2015,Maraaya,Here for You,/eurovision/2015/slovenia,final,Slovenia,Slovenia
21,124,CORAL,81.0,2015,Maraaya,Here for You,/eurovision/2015/slovenia,final,Slovenia,Slovenia
13,124,SKYBET,67.0,2015,Maraaya,Here for You,/eurovision/2015/slovenia,final,Slovenia,Slovenia
20,124,BETVICTOR,67.0,2015,Maraaya,Here for You,/eurovision/2015/slovenia,final,Slovenia,Slovenia
